"","name","country","birthday","starting_number","speed","distance","distance_points","mark_A","mark_B","mark_C","mark_D","mark_E","style_points","gate","gate_points","wind_speed","wind_points","total_points","rank","series_number","total_points_all_jumps","competition_code","hill_code","year","competition_number","k","hs","full_name"
"21","ZYLA Piotr","POL","16 JAN 1987","11","90.0","136.0","79.8","18.5","18.5","19.0","18.5","17.5","55.5","10","","-0.29","4.7","140.0","13.","2","282.5","1","bis","2022","0",125,142,"Bischofshofen"
"22","RAIMUND Philipp","GER","23 JUN 2000","17","90.5","136.0","79.8","18.5","18.0","18.0","18.0","18.0","54.0","12","","-0.43","7.0","140.8","13.","1","281.5","1","bis","2022","0",125,142,"Bischofshofen"
"23","RAIMUND Philipp","GER","23 JUN 2000","17","89.4","135.5","78.9","18.5","18.5","18.5","18.5","18.5","55.5","10","","-0.39","6.3","140.7","12.","2","281.5","1","bis","2022","0",125,142,"Bischofshofen"
"24","FORFANG Johann","NOR","4 JUL 1995","15","90.3","134.5","77.1","18.5","18.5","18.5","18.5","18.0","55.5","12","","-0.46","7.5","140.1","14.","1","281.1","1","bis","2022","0",125,142,"Bischofshofen"
"25","FORFANG Johann","NOR","4 JUL 1995","15","89.4","137.5","82.5","18.5","18.0","18.0","18.0","18.5","54.5","10","","-0.25","4.0","141.0","11.","2","281.1","1","bis","2022","0",125,142,"Bischofshofen"
"26","KRAFT Stefan","AUT","13 MAY 1993","6","90.1","141.0","88.8","19.5","19.5","19.5","19.0","18.5","58.0","12","","-0.33","5.3","152.1","4.","1","281.0","1","bis","2022","0",125,142,"Bischofshofen"
"27","KRAFT Stefan","AUT","13 MAY 1993","6","89.4","127.5","64.5","18.5","18.0","18.0","18.5","17.5","54.5","10","","-0.61","9.9","128.9","21.","2","281.0","1","bis","2022","0",125,142,"Bischofshofen"
"28","JELAR Ziga","SLO","22 OCT 1997","10","90.3","134.0","76.2","18.5","18.5","18.5","18.0","18.5","55.5","12","","-0.45","7.3","139.0","17.","1","277.7","1","bis","2022","0",125,142,"Bischofshofen"
"29","JELAR Ziga","SLO","22 OCT 1997","10","89.9","135.0","78.0","18.5","18.5","18.5","18.5","18.5","55.5","10","","-0.32","5.2","138.7","14.","2","277.7","1","bis","2022","0",125,142,"Bischofshofen"
"30","SCHMID Constantin","GER","27 NOV 1999","13","90.6","133.0","74.4","18.5","19.0","18.5","18.5","19.0","56.0","12","","-0.53","8.6","139.0","17.","1","275.1","1","bis","2022","0",125,142,"Bischofshofen"
"31","SCHMID Constantin","GER","27 NOV 1999","13","89.8","132.5","73.5","18.5","18.5","18.5","18.5","18.5","55.5","10","","-0.44","7.1","136.1","15.","2","275.1","1","bis","2022","0",125,142,"Bischofshofen"
"32","KOBAYASHI Ryoyu","JPN","8 NOV 1996","8","90.1","134.5","77.1","18.5","19.0","18.5","18.5","19.0","56.0","12","","-0.40","6.5","139.6","16.","1","273.9","1","bis","2022","0",125,142,"Bischofshofen"
"33","KOBAYASHI Ryoyu","JPN","8 NOV 1996","8","89.4","135.5","78.9","19.0","18.5","18.5","18.5","18.0","55.5","10","","0.01","-0.1","134.3","17.","2","273.9","1","bis","2022","0",125,142,"Bischofshofen"
"34","TSCHOFENIG Daniel","AUT","28 MAR 2002","20","89.8","132.5","73.5","18.5","19.0","18.5","19.0","19.0","56.5","12","","-0.47","7.6","137.6","21.","1","272.6","1","bis","2022","0",125,142,"Bischofshofen"
"35","TSCHOFENIG Daniel","AUT","28 MAR 2002","20","89.3","131.5","71.7","18.5","18.5","18.5","18.5","18.5","55.5","10","","-0.48","7.8","135.0","16.","2","272.6","1","bis","2022","0",125,142,"Bischofshofen"
"36","LINDVIK Marius","NOR","27 JUN 1998","26","89.5","134.5","77.1","18.5","18.5","19.0","18.5","18.5","55.5","12","","-0.64","10.4","143.0","11.","1","269.5","1","bis","2022","0",125,142,"Bischofshofen"
"37","LINDVIK Marius","NOR","27 JUN 1998","26","89.1","128.0","65.4","18.0","18.0","18.0","18.0","17.5","54.0","10","","-0.44","7.1","126.5","22.","2","269.5","1","bis","2022","0",125,142,"Bischofshofen"
"38","WELLINGER Andreas","GER","28 AUG 1995","24","90.1","131.5","71.7","18.5","18.5","18.5","18.5","18.5","55.5","12","","-0.65","10.5","137.7","20.","1","267.4","1","bis","2022","0",125,142,"Bischofshofen"
"39","WELLINGER Andreas","GER","28 AUG 1995","24","89.9","130.0","69.0","18.5","18.5","18.0","18.0","18.5","55.0","10","","-0.35","5.7","129.7","19.","2","267.4","1","bis","2022","0",125,142,"Bischofshofen"
"40","JOHANSSON Robert","NOR","23 MAR 1990","18","90.7","133.5","75.3","18.5","18.5","18.5","18.5","18.5","55.5","12","","-0.43","7.0","137.8","19.","1","267.3","1","bis","2022","0",125,142,"Bischofshofen"
"41","JOHANSSON Robert","NOR","23 MAR 1990","18","89.9","130.0","69.0","18.5","18.0","17.5","18.0","18.0","54.0","10","","-0.40","6.5","129.5","20.","2","267.3","1","bis","2022","0",125,142,"Bischofshofen"
"42","KOS Lovro","KOS","23 JUL 1999","19","89.6","130.0","69.0","17.5","17.5","17.5","17.5","17.5","52.5","12","","-0.47","7.6","129.1","28.","1","262.9","1","bis","2022","0",125,142,"Bischofshofen"
"43","KOS Lovro","KOS","23 JUL 1999","19","89.0","133.0","74.4","18.0","18.5","18.0","18.0","18.5","54.5","10","","-0.30","4.9","133.8","18.","2","262.9","1","bis","2022","0",125,142,"Bischofshofen"
"44","GEIGER Karl","GER","11 FEB 1993","25","90.4","131.5","71.7","18.5","18.5","18.0","18.0","18.0","54.5","12","","-0.63","10.2","136.4","22.","1","261.3","1","bis","2022","0",125,142,"Bischofshofen"
"45","GEIGER Karl","GER","11 FEB 1993","25","90.0","126.0","61.8","18.0","18.0","17.5","18.0","18.0","54.0","10","","-0.56","9.1","124.9","25.","2","261.3","1","bis","2022","0",125,142,"Bischofshofen"
"46","ASCHENWALD Philipp","AUT","12 NOV 1995","16","90.4","132.0","72.6","18.0","18.0","18.0","17.5","17.5","53.5","12","","-0.47","7.6","133.7","23.","1","258.3","1","bis","2022","0",125,142,"Bischofshofen"
"47","ASCHENWALD Philipp","AUT","12 NOV 1995","16","89.5","126.5","62.7","18.0","17.5","18.0","17.5","17.5","53.0","10","","-0.55","8.9","124.6","26.","2","258.3","1","bis","2022","0",125,142,"Bischofshofen"
"48","LEITNER Clemens","AUT","7 NOV 1998","47","89.6","130.0","69.0","18.0","18.0","18.0","17.5","17.5","53.5","11","2.4","-0.37","6.0","130.9","25.","1","257.0","1","bis","2022","0",125,142,"Bischofshofen"
"49","LEITNER Clemens","AUT","7 NOV 1998","47","89.1","127.5","64.5","18.0","18.0","18.0","18.0","18.0","54.0","10","","-0.47","7.6","126.1","23.","2","257.0","1","bis","2022","0",125,142,"Bischofshofen"
"50","FANNEMEL Anders","NOR","13 MAY 1991","37","90.1","128.5","66.3","18.0","18.0","18.0","17.5","18.0","54.0","12","","-0.55","8.9","129.2","27.","1","249.8","1","bis","2022","0",125,142,"Bischofshofen"
"51","FANNEMEL Anders","NOR","13 MAY 1991","37","89.0","127.0","63.6","16.5","17.0","16.5","16.5","16.5","49.5","10","","-0.46","7.5","120.6","27.","2","249.8","1","bis","2022","0",125,142,"Bischofshofen"
"52","ORTNER Maximilian","AUT","4 JUN 2002","29","89.9","127.5","64.5","18.0","18.0","18.0","18.0","18.0","54.0","12","","-0.62","10.0","128.5","29.","1","248.0","1","bis","2022","0",125,142,"Bischofshofen"
"53","ORTNER Maximilian","AUT","4 JUN 2002","29","89.2","127.5","64.5","18.0","18.0","18.0","17.5","18.0","54.0","10","","-0.06","1.0","119.5","28.","2","248.0","1","bis","2022","0",125,142,"Bischofshofen"
"54","SUNDAL Kristoffer","NOR","7 FEB 2001","45","89.8","130.0","69.0","18.0","18.0","18.0","18.0","18.0","54.0","12","","-0.41","6.6","129.6","26.","1","242.3","1","bis","2022","0",125,142,"Bischofshofen"
"55","SUNDAL Kristoffer","NOR","7 FEB 2001","45","89.0","120.5","51.9","17.5","17.5","17.5","17.5","17.0","52.5","10","","-0.51","8.3","112.7","30.","2","242.3","1","bis","2022","0",125,142,"Bischofshofen"
"56","EISENBICHLER Markus","GER","3 APR 1991","31","90.4","130.0","69.0","18.0","17.5","17.5","17.5","17.5","52.5","12","","-0.47","7.6","129.1","31.","1","129.1","1","bis","2022","0",125,142,"Bischofshofen"
"57","AALTO Antti","FIN","2 APR 1995","32","90.3","129.0","67.2","17.5","18.0","18.0","17.5","18.0","53.5","12","","-0.47","7.6","128.3","32.","1","128.3","1","bis","2022","0",125,142,"Bischofshofen"
"58","KYTOSAHO Niko","FIN","18 DEC 1999","44","89.9","128.0","65.4","18.0","18.0","18.0","18.0","18.0","54.0","12","","-0.49","7.9","127.3","33.","1","127.3","1","bis","2022","0",125,142,"Bischofshofen"
"59","VASSILYEV Danil","KAZ","22 JUL 2004","34","NA","127.5","64.5","17.5","17.5","18.0","17.5","18.0","53.0","12","","-0.32","5.2","122.7","34.","1","122.7","1","bis","2022","0",125,142,"Bischofshofen"
"60","INSAM Alex","ITA","19 DEC 1997","46","89.6","126.5","62.7","17.5","17.5","17.5","17.5","18.0","52.5","11","2.4","-0.29","4.7","122.3","35.","1","122.3","1","bis","2022","0",125,142,"Bischofshofen"
"61","IPCIOGLU Fatih","TUR","28 SEP 1997","36","90.0","126.0","61.8","17.5","17.5","17.0","17.5","17.0","52.0","12","","-0.51","8.3","122.1","36.","1","122.1","1","bis","2022","0",125,142,"Bischofshofen"
"62","NIKAIDO Ren","JPN","24 MAY 2001","42","89.8","126.0","61.8","17.5","17.5","17.5","17.5","17.5","52.5","12","","-0.47","7.6","121.9","37.","1","121.9","1","bis","2022","0",125,142,"Bischofshofen"
"63","MOERTH Francisco","AUT","9 JUL 1999","48","89.7","126.5","62.7","18.0","18.0","18.0","17.5","18.0","54.0","11","2.4","-0.13","2.1","121.2","38.","1","121.2","1","bis","2022","0",125,142,"Bischofshofen"
"64","PREVC Domen","SLO","4 JUN 1999","40","90.0","123.5","57.3","17.5","17.5","17.5","17.5","18.0","52.5","12","","-0.70","11.3","121.1","39.","1","121.1","1","bis","2022","0",125,142,"Bischofshofen"
"65","BRESADOLA Giovanni","ITA","17 FEB 2001","33","90.2","125.0","60.0","17.0","17.0","17.0","17.0","17.0","51.0","12","","-0.62","10.0","121.0","40.","1","121.0","1","bis","2022","0",125,142,"Bischofshofen"
"66","HABDAS Jan","POL","2 DEC 2003","49","90.5","121.5","53.7","17.0","17.5","17.5","17.5","17.0","52.0","10","4.8","-0.65","10.5","121.0","40.","1","121.0","1","bis","2022","0",125,142,"Bischofshofen"
"67","WASEK Pawel","POL","2 JUN 1999","21","89.7","123.5","57.3","17.5","17.5","17.5","17.5","17.5","52.5","12","","-0.67","10.9","120.7","42.","1","120.7","1","bis","2022","0",125,142,"Bischofshofen"
"68","HULA Stefan","POL","29 SEP 1986","43","90.1","125.0","60.0","17.5","17.5","18.0","17.5","17.5","52.5","12","","-0.42","6.8","119.3","43.","1","119.3","1","bis","2022","0",125,142,"Bischofshofen"
"69","DEAN Decker","USA","8 AUG 2000","39","90.5","124.0","58.2","17.5","17.5","17.5","17.5","17.5","52.5","12","","-0.52","8.4","119.1","44.","1","119.1","1","bis","2022","0",125,142,"Bischofshofen"
"70","PASCHKE Pius","GER","20 MAY 1990","38","89.7","123.5","57.3","17.5","17.5","17.0","17.5","17.0","52.0","12","","-0.59","9.6","118.9","45.","1","118.9","1","bis","2022","0",125,142,"Bischofshofen"
"71","LEYHE Stephan","GER","5 JAN 1992","22","90.5","123.0","56.4","17.5","17.5","17.0","17.0","17.5","52.0","12","","-0.56","9.1","117.5","46.","1","117.5","1","bis","2022","0",125,142,"Bischofshofen"
"72","NAKAMURA Naoki","JPN","19 SEP 1996","27","89.8","122.0","54.6","17.5","17.5","17.0","17.0","18.0","52.0","12","","-0.53","8.6","115.2","47.","1","115.2","1","bis","2022","0",125,142,"Bischofshofen"
"73","AIGRO Artti","EST","29 AUG 1999","28","89.5","121.5","53.7","17.0","16.5","16.5","16.5","17.0","50.0","12","","-0.65","10.5","114.2","48.","1","114.2","1","bis","2022","0",125,142,"Bischofshofen"
"74","KRAFT Stefan","AUT","13 MAY 1993","2","89.8","136.5","80.7","19.5","19.5","19.0","19.0","19.0","57.5","13","","-0.29","4.7","142.9","2.","1","288.9","2","bis","2023","0",125,142,"Bischofshofen"
"75","KRAFT Stefan","AUT","13 MAY 1993","2","89.9","140.0","87.0","19.5","19.5","19.5","19.5","19.5","58.5","15","","-0.03","0.5","146.0","1.","2","288.9","2","bis","2023","0",125,142,"Bischofshofen"
"76","KOBAYASHI Ryoyu","JPN","8 NOV 1996","1","89.5","137.0","81.6","19.0","19.5","19.5","19.0","19.0","57.5","13","","-0.31","5.0","144.1","1.","1","287.6","2","bis","2023","0",125,142,"Bischofshofen"
"77","KOBAYASHI Ryoyu","JPN","8 NOV 1996","1","89.4","139.0","85.2","19.5","19.5","19.0","19.0","19.0","57.5","15","","-0.05","0.8","143.5","4.","2","287.6","2","bis","2023","0",125,142,"Bischofshofen"
"78","LANISEK Anze","SLO","20 APR 1996","5","89.6","134.5","77.1","18.5","19.0","18.5","18.5","19.0","56.0","13","","-0.18","2.9","136.0","3.","1","281.8","2","bis","2023","0",125,142,"Bischofshofen"
"79","LANISEK Anze","SLO","20 APR 1996","5","89.8","141.0","88.8","18.5","19.0","19.0","19.0","19.0","57.0","15","","0.00","0.0","145.8","2.","2","281.8","2","bis","2023","0",125,142,"Bischofshofen"
"80","FETTNER Manuel","AUT","17 JUN 1985","15","88.7","134.5","77.1","18.5","18.0","18.5","18.0","18.0","54.5","13","","-0.20","3.2","134.8","5.","1","271.4","2","bis","2023","0",125,142,"Bischofshofen"
"81","FETTNER Manuel","AUT","17 JUN 1985","15","89.3","135.0","78.0","18.5","18.5","18.5","18.5","18.5","55.5","15","","-0.19","3.1","136.6","8.","2","271.4","2","bis","2023","0",125,142,"Bischofshofen"
"82","WELLINGER Andreas","GER","28 AUG 1995","9","89.8","132.0","72.6","18.5","18.0","19.0","18.5","18.0","55.0","13","","-0.14","2.3","129.9","8.","1","267.9","2","bis","2023","0",125,142,"Bischofshofen"
"83","WELLINGER Andreas","GER","28 AUG 1995","9","90.3","137.0","81.6","19.0","19.0","19.5","19.5","19.0","57.5","15","","0.10","-1.1","138.0","5.","2","267.9","2","bis","2023","0",125,142,"Bischofshofen"
"84","AIGNER Clemens","AUT","2 FEB 1993","3","89.1","133.5","75.3","19.0","19.0","19.0","18.5","18.5","56.5","13","","-0.12","1.9","133.7","6.","1","266.5","2","bis","2023","0",125,142,"Bischofshofen"
"85","AIGNER Clemens","AUT","2 FEB 1993","3","89.9","131.0","70.8","19.0","19.0","18.0","18.5","18.0","55.5","15","","-0.40","6.5","132.8","12.","2","266.5","2","bis","2023","0",125,142,"Bischofshofen"
"86","GRANERUD Halvor","NOR","29 MAY 1996","19","88.9","132.0","72.6","18.0","18.5","18.5","18.5","18.5","55.5","13","","-0.31","5.0","133.1","7.","1","265.4","2","bis","2023","0",125,142,"Bischofshofen"
"87","GRANERUD Halvor","NOR","29 MAY 1996","19","89.7","133.0","74.4","17.5","18.0","18.5","18.5","18.5","55.0","15","","-0.18","2.9","132.3","13.","2","265.4","2","bis","2023","0",125,142,"Bischofshofen"
"88","PASCHKE Pius","GER","20 MAY 1990","14","88.9","129.0","67.2","18.5","17.5","18.5","18.0","18.0","54.5","13","","-0.22","3.6","125.3","11.","1","262.3","2","bis","2023","0",125,142,"Bischofshofen"
"89","PASCHKE Pius","GER","20 MAY 1990","14","90.0","133.5","75.3","18.5","18.5","18.5","18.5","18.0","55.5","15","","-0.38","6.2","137.0","6.","2","262.3","2","bis","2023","0",125,142,"Bischofshofen"
"90","PREVC Peter","SLO","20 SEP 1992","6","89.3","131.0","70.8","18.0","18.5","18.5","18.0","18.5","55.0","13","","-0.24","3.9","129.7","9.","1","261.8","2","bis","2023","0",125,142,"Bischofshofen"
"91","PREVC Peter","SLO","20 SEP 1992","6","89.8","135.0","78.0","18.0","18.5","19.0","19.0","18.5","56.0","15","","0.18","-1.9","132.1","14.","2","261.8","2","bis","2023","0",125,142,"Bischofshofen"
"92","HOERL Jan","AUT","16 OCT 1998","8","89.0","126.5","62.7","17.5","18.0","18.0","18.0","18.0","54.0","13","","0.11","-1.2","115.5","23.","1","259.5","2","bis","2023","0",125,142,"Bischofshofen"
"93","HOERL Jan","AUT","16 OCT 1998","8","89.9","137.5","82.5","18.5","19.0","18.5","19.0","19.0","56.5","15","","-0.31","5.0","144.0","3.","2","259.5","2","bis","2023","0",125,142,"Bischofshofen"
"94","HAYBOECK Michael","AUT","5 MAR 1991","16","89.1","130.0","69.0","17.5","17.5","17.5","17.5","17.5","52.5","13","","-0.14","2.3","123.8","13.","1","257.9","2","bis","2023","0",125,142,"Bischofshofen"
"95","HAYBOECK Michael","AUT","5 MAR 1991","16","90.1","133.0","74.4","18.5","18.0","18.5","18.0","18.0","54.5","15","","-0.32","5.2","134.1","11.","2","257.9","2","bis","2023","0",125,142,"Bischofshofen"
"96","OESTVOLD Benjamin","NOR","13 JAN 2001","4","88.4","128.0","65.4","17.5","17.5","17.5","17.0","18.0","52.5","13","","-0.17","2.8","120.7","16.","1","256.3","2","bis","2023","0",125,142,"Bischofshofen"
"97","OESTVOLD Benjamin","NOR","13 JAN 2001","4","89.3","134.0","76.2","18.5","18.5","18.5","18.0","18.0","55.0","15","","-0.27","4.4","135.6","9.","2","256.3","2","bis","2023","0",125,142,"Bischofshofen"
"98","NIKAIDO Ren","JPN","24 MAY 2001","12","89.1","129.0","67.2","18.0","18.5","18.0","18.0","18.0","54.0","13","","-0.18","2.9","124.1","12.","1","255.4","2","bis","2023","0",125,142,"Bischofshofen"
"99","NIKAIDO Ren","JPN","24 MAY 2001","12","90.0","131.0","70.8","18.0","18.0","18.0","18.0","18.0","54.0","15","","-0.40","6.5","131.3","16.","2","255.4","2","bis","2023","0",125,142,"Bischofshofen"
"100","RAIMUND Philipp","GER","23 JUN 2000","40","88.8","126.5","62.7","17.5","18.0","18.0","18.0","18.0","54.0","13","","-0.09","1.5","118.2","19.","1","255.2","2","bis","2023","0",125,142,"Bischofshofen"
"101","RAIMUND Philipp","GER","23 JUN 2000","40","90.1","134.0","76.2","18.0","18.5","18.5","18.5","18.0","55.0","15","","-0.36","5.8","137.0","6.","2","255.2","2","bis","2023","0",125,142,"Bischofshofen"
"102","GEIGER Karl","GER","11 FEB 1993","17","89.5","129.0","67.2","17.5","17.5","18.0","17.5","18.0","53.0","13","","-0.32","5.2","125.4","10.","1","254.8","2","bis","2023","0",125,142,"Bischofshofen"
"103","GEIGER Karl","GER","11 FEB 1993","17","90.1","133.5","75.3","17.5","18.5","18.0","18.5","18.0","54.5","15","","0.04","-0.4","129.4","20.","2","254.8","2","bis","2023","0",125,142,"Bischofshofen"
"104","ZNISZCZOL Aleksander","POL","8 MAR 1994","28","89.1","124.5","59.1","17.5","17.0","18.0","17.5","17.5","52.5","13","","-0.36","5.8","117.4","20.","1","248.8","2","bis","2023","0",125,142,"Bischofshofen"
"105","ZNISZCZOL Aleksander","POL","8 MAR 1994","28","90.1","131.5","71.7","18.0","18.0","18.5","18.0","18.0","54.0","15","","-0.35","5.7","131.4","15.","2","248.8","2","bis","2023","0",125,142,"Bischofshofen"
"106","TSCHOFENIG Daniel","AUT","28 MAR 2002","21","88.8","121.5","53.7","17.0","17.5","17.5","17.5","17.5","52.5","13","","-0.45","7.3","113.5","26.","1","247.7","2","bis","2023","0",125,142,"Bischofshofen"
"107","TSCHOFENIG Daniel","AUT","28 MAR 2002","21","89.8","132.5","73.5","19.0","18.5","18.5","19.0","18.5","56.0","15","","-0.29","4.7","134.2","10.","2","247.7","2","bis","2023","0",125,142,"Bischofshofen"
"108","WASEK Pawel","POL","2 JUN 1999","36","89.1","125.0","60.0","17.5","17.0","17.5","17.0","17.5","52.0","13","","-0.29","4.7","116.7","21.","1","246.2","2","bis","2023","0",125,142,"Bischofshofen"
"109","WASEK Pawel","POL","2 JUN 1999","36","90.1","129.0","67.2","17.5","18.0","18.5","18.0","18.0","54.0","15","","-0.51","8.3","129.5","19.","2","246.2","2","bis","2023","0",125,142,"Bischofshofen"
"110","KUBACKI Dawid","POL","12 MAR 1990","33","89.2","125.0","60.0","17.5","18.0","18.0","17.5","17.5","53.0","13","","-0.13","2.1","115.1","24.","1","245.6","2","bis","2023","0",125,142,"Bischofshofen"
"111","KUBACKI Dawid","POL","12 MAR 1990","33","90.0","132.0","72.6","18.0","18.5","18.5","18.0","18.0","54.5","15","","-0.21","3.4","130.5","17.","2","245.6","2","bis","2023","0",125,142,"Bischofshofen"
"112","TANDE Daniel","NOR","24 JAN 1994","34","88.9","125.5","60.9","17.5","17.5","18.0","17.5","18.0","53.0","13","","-0.05","0.8","114.7","25.","1","244.5","2","bis","2023","0",125,142,"Bischofshofen"
"113","TANDE Daniel","NOR","24 JAN 1994","34","89.6","131.5","71.7","18.0","18.5","18.5","18.5","18.0","55.0","15","","-0.19","3.1","129.8","18.","2","244.5","2","bis","2023","0",125,142,"Bischofshofen"
"114","STOCH Kamil","POL","25 MAY 1987","10","88.5","129.0","67.2","18.0","18.0","18.5","18.0","18.5","54.5","13","","-0.08","1.3","123.0","15.","1","244.2","2","bis","2023","0",125,142,"Bischofshofen"
"115","STOCH Kamil","POL","25 MAY 1987","10","89.2","125.5","60.9","17.5","18.0","18.0","18.0","18.0","54.0","15","","-0.39","6.3","121.2","23.","2","244.2","2","bis","2023","0",125,142,"Bischofshofen"
"116","ZAJC Timi","SLO","26 APR 2000","13","88.8","129.0","67.2","18.0","18.0","18.0","18.0","18.0","54.0","13","","-0.15","2.4","123.6","14.","1","242.4","2","bis","2023","0",125,142,"Bischofshofen"
"117","ZAJC Timi","SLO","26 APR 2000","13","89.5","125.0","60.0","17.5","17.5","17.5","17.5","18.0","52.5","15","","-0.39","6.3","118.8","25.","2","242.4","2","bis","2023","0",125,142,"Bischofshofen"
"118","INSAM Alex","ITA","19 DEC 1997","26","89.1","127.5","64.5","17.5","17.5","18.0","17.5","17.5","52.5","13","","-0.17","2.8","119.8","17.","1","241.8","2","bis","2023","0",125,142,"Bischofshofen"
"119","INSAM Alex","ITA","19 DEC 1997","26","89.8","126.5","62.7","17.5","17.5","17.5","17.5","17.5","52.5","15","","-0.42","6.8","122.0","22.","2","241.8","2","bis","2023","0",125,142,"Bischofshofen"
"120","LINDVIK Marius","NOR","27 JUN 1998","24","88.8","126.0","61.8","17.5","17.0","17.0","16.5","17.5","51.5","13","","-0.17","2.8","116.1","22.","1","239.4","2","bis","2023","0",125,142,"Bischofshofen"
"121","LINDVIK Marius","NOR","27 JUN 1998","24","89.6","126.5","62.7","18.0","18.0","18.0","18.0","18.0","54.0","15","","-0.41","6.6","123.3","21.","2","239.4","2","bis","2023","0",125,142,"Bischofshofen"
